{first_ts=40000, cou=3, last_ts=43000, value=51.0, key=226}
{first_ts=41000, cou=2, last_ts=43000, value=43.0, key=148}
{first_ts=41000, cou=2, last_ts=43000, value=42.0, key=340}
{first_ts=42000, cou=1, last_ts=43000, value=35.0, key=199}
{first_ts=42000, cou=1, last_ts=43000, value=41.0, key=336}
{first_ts=41000, cou=2, last_ts=43000, value=42.0, key=112}
{first_ts=42000, cou=1, last_ts=43000, value=41.0, key=433}
{first_ts=42000, cou=1, last_ts=43000, value=34.0, key=200}
{first_ts=42000, cou=1, last_ts=43000, value=38.0, key=447}
{first_ts=41000, cou=2, last_ts=43000, value=44.0, key=110}
{first_ts=41000, cou=2, last_ts=43000, value=41.0, key=174}
{first_ts=40000, cou=3, last_ts=43000, value=51.0, key=102}
{first_ts=42000, cou=1, last_ts=43000, value=37.0, key=486}
{first_ts=43000, cou=1, last_ts=44000, value=42.0, key=238}
{first_ts=42000, cou=2, last_ts=44000, value=42.0, key=274}
{first_ts=43000, cou=1, last_ts=44000, value=38.0, key=285}
{first_ts=42000, cou=2, last_ts=44000, value=42.0, key=256}
{first_ts=42000, cou=2, last_ts=44000, value=45.0, key=239}
{first_ts=43000, cou=1, last_ts=44000, value=40.0, key=524}
{first_ts=42000, cou=2, last_ts=44000, value=44.0, key=137}
{first_ts=43000, cou=1, last_ts=44000, value=38.0, key=250}
{first_ts=43000, cou=1, last_ts=44000, value=36.0, key=273}
{first_ts=43000, cou=1, last_ts=44000, value=40.0, key=562}
{first_ts=43000, cou=1, last_ts=44000, value=41.0, key=469}
{first_ts=43000, cou=1, last_ts=44000, value=44.0, key=198}
{first_ts=42000, cou=2, last_ts=44000, value=45.0, key=262}
{first_ts=43000, cou=1, last_ts=44000, value=35.0, key=189}
{first_ts=41000, cou=3, last_ts=44000, value=42.0, key=119}
{first_ts=42000, cou=2, last_ts=44000, value=41.0, key=149}
{first_ts=43000, cou=1, last_ts=44000, value=37.0, key=385}
{first_ts=43000, cou=1, last_ts=44000, value=42.0, key=147}
{first_ts=43000, cou=1, last_ts=44000, value=40.0, key=432}
{first_ts=43000, cou=2, last_ts=45000, value=40.0, key=426}
{first_ts=44000, cou=1, last_ts=45000, value=37.0, key=494}
{first_ts=43000, cou=2, last_ts=45000, value=42.0, key=303}
{first_ts=44000, cou=1, last_ts=45000, value=38.0, key=460}
{first_ts=44000, cou=1, last_ts=45000, value=38.0, key=374}
{first_ts=44000, cou=1, last_ts=45000, value=42.0, key=199}
{first_ts=44000, cou=1, last_ts=45000, value=41.0, key=408}
{first_ts=42000, cou=3, last_ts=45000, value=47.0, key=281}
{first_ts=44000, cou=1, last_ts=45000, value=37.0, key=425}
{first_ts=43000, cou=2, last_ts=45000, value=47.0, key=206}
{first_ts=43000, cou=2, last_ts=45000, value=44.0, key=329}
{first_ts=43000, cou=2, last_ts=45000, value=43.0, key=339}
{first_ts=43000, cou=2, last_ts=45000, value=44.0, key=293}
{first_ts=44000, cou=1, last_ts=45000, value=37.0, key=495}
{first_ts=43000, cou=2, last_ts=45000, value=49.0, key=506}
{first_ts=45000, cou=1, last_ts=46000, value=36.0, key=518}
{first_ts=45000, cou=1, last_ts=46000, value=43.0, key=541}
{first_ts=45000, cou=1, last_ts=46000, value=36.0, key=513}
{first_ts=45000, cou=1, last_ts=46000, value=38.0, key=488}
{first_ts=45000, cou=1, last_ts=46000, value=40.0, key=634}
{first_ts=45000, cou=1, last_ts=46000, value=38.0, key=415}
{first_ts=45000, cou=1, last_ts=46000, value=36.0, key=544}
{first_ts=45000, cou=1, last_ts=46000, value=40.0, key=461}
{first_ts=45000, cou=1, last_ts=46000, value=41.0, key=524}
{first_ts=45000, cou=1, last_ts=46000, value=36.0, key=377}
{first_ts=44000, cou=2, last_ts=46000, value=50.0, key=447}
{first_ts=45000, cou=1, last_ts=46000, value=38.0, key=144}
{first_ts=43000, cou=3, last_ts=46000, value=43.0, key=400}
{first_ts=45000, cou=1, last_ts=46000, value=47.0, key=283}
{first_ts=45000, cou=1, last_ts=46000, value=39.0, key=405}
{first_ts=44000, cou=2, last_ts=46000, value=43.0, key=151}
{first_ts=45000, cou=1, last_ts=46000, value=39.0, key=385}
{first_ts=44000, cou=2, last_ts=46000, value=44.0, key=268}
{first_ts=43000, cou=3, last_ts=46000, value=52.0, key=401}
{first_ts=45000, cou=2, last_ts=47000, value=41.0, key=205}
{first_ts=46000, cou=1, last_ts=47000, value=37.0, key=449}
{first_ts=44000, cou=3, last_ts=47000, value=42.0, key=279}
{first_ts=46000, cou=1, last_ts=47000, value=43.0, key=250}
{first_ts=45000, cou=2, last_ts=47000, value=50.0, key=562}
{first_ts=46000, cou=1, last_ts=47000, value=36.0, key=259}
{first_ts=45000, cou=2, last_ts=47000, value=49.0, key=179}
{first_ts=45000, cou=2, last_ts=47000, value=44.0, key=454}
{first_ts=46000, cou=2, last_ts=48000, value=44.0, key=441}
{first_ts=47000, cou=1, last_ts=48000, value=40.0, key=546}
{first_ts=47000, cou=1, last_ts=48000, value=36.0, key=351}
{first_ts=47000, cou=1, last_ts=48000, value=35.0, key=484}
{first_ts=47000, cou=1, last_ts=48000, value=37.0, key=331}
{first_ts=47000, cou=1, last_ts=48000, value=34.0, key=383}
{first_ts=47000, cou=1, last_ts=48000, value=46.0, key=541}
{first_ts=47000, cou=1, last_ts=48000, value=40.0, key=407}
{first_ts=47000, cou=1, last_ts=48000, value=41.0, key=513}
{first_ts=46000, cou=2, last_ts=48000, value=40.0, key=381}
{first_ts=47000, cou=1, last_ts=48000, value=39.0, key=467}
{first_ts=47000, cou=1, last_ts=48000, value=38.0, key=154}
{first_ts=47000, cou=1, last_ts=48000, value=36.0, key=544}
{first_ts=46000, cou=2, last_ts=48000, value=41.0, key=307}
{first_ts=47000, cou=1, last_ts=48000, value=43.0, key=444}
{first_ts=45000, cou=3, last_ts=48000, value=48.0, key=258}
{first_ts=47000, cou=1, last_ts=48000, value=37.0, key=366}
{first_ts=47000, cou=1, last_ts=48000, value=40.0, key=669}
{first_ts=47000, cou=1, last_ts=48000, value=34.0, key=349}
{first_ts=46000, cou=2, last_ts=48000, value=43.0, key=246}
{first_ts=46000, cou=2, last_ts=48000, value=44.0, key=478}
{first_ts=47000, cou=1, last_ts=48000, value=37.0, key=624}
{first_ts=48000, cou=1, last_ts=49000, value=37.0, key=270}
{first_ts=47000, cou=2, last_ts=49000, value=41.0, key=518}
{first_ts=47000, cou=2, last_ts=49000, value=44.0, key=104}
{first_ts=48000, cou=1, last_ts=49000, value=37.0, key=598}
{first_ts=47000, cou=2, last_ts=49000, value=41.0, key=264}
{first_ts=46000, cou=3, last_ts=49000, value=52.0, key=409}
{first_ts=48000, cou=1, last_ts=49000, value=36.0, key=452}
{first_ts=47000, cou=2, last_ts=49000, value=40.0, key=117}
{first_ts=48000, cou=1, last_ts=49000, value=43.0, key=488}
{first_ts=47000, cou=2, last_ts=49000, value=47.0, key=634}
{first_ts=48000, cou=1, last_ts=49000, value=38.0, key=474}
{first_ts=48000, cou=1, last_ts=49000, value=43.0, key=678}
{first_ts=48000, cou=1, last_ts=49000, value=36.0, key=629}
{first_ts=48000, cou=1, last_ts=49000, value=40.0, key=370}
{first_ts=48000, cou=1, last_ts=49000, value=36.0, key=526}
{first_ts=46000, cou=3, last_ts=49000, value=48.0, key=413}
{first_ts=48000, cou=1, last_ts=49000, value=35.0, key=266}
{first_ts=48000, cou=1, last_ts=49000, value=36.0, key=364}
{first_ts=46000, cou=3, last_ts=49000, value=54.0, key=359}
{first_ts=47000, cou=2, last_ts=49000, value=42.0, key=113}
{first_ts=47000, cou=2, last_ts=49000, value=41.0, key=389}
{first_ts=48000, cou=1, last_ts=49000, value=40.0, key=462}
{first_ts=46000, cou=3, last_ts=49000, value=48.0, key=450}
{first_ts=48000, cou=1, last_ts=49000, value=36.0, key=422}
{first_ts=48000, cou=1, last_ts=49000, value=40.0, key=392}
{first_ts=47000, cou=2, last_ts=49000, value=41.0, key=406}
{first_ts=46000, cou=3, last_ts=49000, value=50.0, key=453}
{first_ts=45000, cou=4, last_ts=49000, value=52.0, key=325}
{first_ts=49000, cou=1, last_ts=50000, value=40.0, key=440}
{first_ts=49000, cou=1, last_ts=50000, value=41.0, key=548}
{first_ts=49000, cou=1, last_ts=50000, value=42.0, key=331}
{first_ts=49000, cou=1, last_ts=50000, value=41.0, key=383}
{first_ts=48000, cou=2, last_ts=50000, value=41.0, key=309}
{first_ts=48000, cou=2, last_ts=50000, value=38.0, key=306}
{first_ts=49000, cou=1, last_ts=50000, value=42.0, key=386}
{first_ts=48000, cou=2, last_ts=50000, value=38.0, key=344}
{first_ts=48000, cou=2, last_ts=50000, value=46.0, key=316}
{first_ts=49000, cou=1, last_ts=50000, value=36.0, key=631}
{first_ts=48000, cou=2, last_ts=50000, value=42.0, key=379}
{first_ts=48000, cou=2, last_ts=50000, value=41.0, key=136}
{first_ts=49000, cou=1, last_ts=50000, value=37.0, key=327}
{first_ts=49000, cou=1, last_ts=50000, value=36.0, key=357}
{first_ts=47000, cou=3, last_ts=50000, value=47.0, key=335}
{first_ts=49000, cou=1, last_ts=50000, value=39.0, key=371}
{first_ts=47000, cou=3, last_ts=50000, value=48.0, key=312}
{first_ts=49000, cou=1, last_ts=50000, value=42.0, key=624}
{first_ts=49000, cou=1, last_ts=50000, value=40.0, key=701}
{first_ts=50000, cou=1, last_ts=51000, value=36.0, key=445}
{first_ts=50000, cou=1, last_ts=51000, value=51.0, key=291}
{first_ts=49000, cou=2, last_ts=51000, value=43.0, key=326}
{first_ts=50000, cou=1, last_ts=51000, value=42.0, key=598}
{first_ts=50000, cou=1, last_ts=51000, value=39.0, key=337}
{first_ts=50000, cou=1, last_ts=51000, value=40.0, key=263}
{first_ts=50000, cou=1, last_ts=51000, value=41.0, key=421}
{first_ts=50000, cou=1, last_ts=51000, value=42.0, key=236}
{first_ts=50000, cou=1, last_ts=51000, value=43.0, key=452}
{first_ts=49000, cou=2, last_ts=51000, value=43.0, key=229}
{first_ts=50000, cou=1, last_ts=51000, value=34.0, key=520}
{first_ts=49000, cou=2, last_ts=51000, value=42.0, key=273}
{first_ts=49000, cou=2, last_ts=51000, value=41.0, key=465}
{first_ts=50000, cou=1, last_ts=51000, value=41.0, key=294}
{first_ts=49000, cou=2, last_ts=51000, value=42.0, key=172}
{first_ts=50000, cou=1, last_ts=51000, value=43.0, key=364}
{first_ts=50000, cou=1, last_ts=51000, value=39.0, key=431}
